date,state,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth,deaths_total,deaths_total_per100k,deaths_avg_week,deaths_avg_week_per100k,deaths_week_growth
2020-03-03,Washington,32,0.42,3.857142857142857,0.051,2.091,10,0.131,1.4285714285714286,0.019,1.429
2020-03-03,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-03-04,Arizona,2,0.027,0.14285714285714285,0.002,0.143,0,0,0,0,0
2020-03-04,California,55,0.139,4.142857142857143,0.01,0.385,1,0.003,0.14285714285714285,0,0.143
2020-03-04,Florida,3,0.014,NA,NA,NA,0,0,NA,NA,NA
2020-03-04,Georgia,2,0.019,NA,NA,NA,0,0,NA,NA,NA
2020-03-04,Illinois,4,0.032,0.2857142857142857,0.002,0.286,0,0,0,0,0
2020-03-04,Massachusetts,2,0.029,0.14285714285714285,0.002,0.143,0,0,0,0,0
2020-03-04,Nebraska,13,0.672,0,0,-0.3,0,0,0,0,0
2020-03-04,New Hampshire,2,0.147,NA,NA,NA,0,0,NA,NA,NA
2020-03-04,New Jersey,1,0.011,NA,NA,NA,0,0,NA,NA,NA
2020-03-04,New York,11,0.057,NA,NA,NA,0,0,NA,NA,NA
2020-03-04,North Carolina,1,0.01,NA,NA,NA,0,0,NA,NA,NA
2020-03-04,Oregon,2,0.047,NA,NA,NA,0,0,NA,NA,NA
2020-03-04,Rhode Island,2,0.189,NA,NA,NA,0,0,NA,NA,NA
2020-03-04,Texas,12,0.041,0.2857142857142857,0.001,-0.4,0,0,0,0,0
2020-03-04,Utah,1,0.031,0,0,NA,0,0,0,0,NA
2020-03-04,Washington,47,0.617,6,0.079,3.455,11,0.144,1.5714285714285714,0.021,1.571
2020-03-04,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-03-05,Arizona,2,0.027,0.14285714285714285,0.002,0.143,0,0,0,0,0
2020-03-05,California,67,0.17,5.857142857142857,0.015,0.92,1,0.003,0.14285714285714285,0,0.143
2020-03-05,Colorado,2,0.035,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,Florida,4,0.019,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,Georgia,2,0.019,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,Illinois,5,0.039,0.42857142857142855,0.003,0.429,0,0,0,0,0
2020-03-05,Maryland,3,0.05,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,Massachusetts,3,0.044,0.2857142857142857,0.004,0.286,0,0,0,0,0
2020-03-05,Nebraska,13,0.672,0,0,-0.222,0,0,0,0,0
2020-03-05,Nevada,2,0.065,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,New Hampshire,2,0.147,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,New Jersey,2,0.023,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,New York,22,0.113,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,North Carolina,1,0.01,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,Oregon,2,0.047,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,Rhode Island,2,0.189,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,Tennessee,1,0.015,NA,NA,NA,0,0,NA,NA,NA
2020-03-05,Texas,16,0.055,0.8571428571428571,0.003,-0.133,0,0,0,0,0
2020-03-05,Utah,1,0.031,0,0,NA,0,0,0,0,NA
2020-03-05,Washington,75,0.985,10,0.131,6,11,0.144,1.5714285714285714,0.021,1.571
2020-03-05,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-03-06,Arizona,3,0.041,0.2857142857142857,0.004,0.286,0,0,0,0,0
2020-03-06,California,81,0.205,7.714285714285714,0.02,1.44,1,0.003,0.14285714285714285,0,0.143
2020-03-06,Colorado,8,0.139,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,Florida,7,0.033,NA,NA,NA,2,0.009,NA,NA,NA
2020-03-06,Georgia,3,0.028,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,Hawaii,1,0.071,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,Illinois,6,0.047,0.5714285714285714,0.005,0.571,0,0,0,0,0
2020-03-06,Indiana,1,0.015,NA,NA,NA,0,0,NA,NA,NA
